doc_id,title ,category,sub_category ,location ,description,content,source,tags
76,Sekeh Beach ( Airport Reef Bali ),destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
77,Sempaning beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
78,Desa Wisata Pucak Tinggan,destinasi_wisata,Umum,,,,Google Maps / Manual,
79,Rockbottom bali,destinasi_wisata,Umum,,,,Google Maps / Manual,
80,Kedonganan,destinasi_wisata,Umum,,,,Google Maps / Manual,
81,Patung Triratna Amreta Bhuwana,destinasi_wisata,Umum,,,,Google Maps / Manual,
82,Taman Gili Dukuh,destinasi_wisata,Alam,,,,Google Maps / Manual,
83,Penglipuran Village,destinasi_wisata,Budaya,,,,Google Maps / Manual,
84,Tukad Cepung Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
85,Pengibul Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
86,Tibumana Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
87,Waterboom Sidembunut,destinasi_wisata,Umum,,,,Google Maps / Manual,
88,Mahapraja Bangli,destinasi_wisata,Umum,,,,Google Maps / Manual,
89,Langgahan Waterfalls,destinasi_wisata,Alam,,,,Google Maps / Manual,
90,Tukad Barong,destinasi_wisata,Budaya,,,,Google Maps / Manual,
91,Air Terjun Desa Kutuh Bangli,destinasi_wisata,Alam,,,,Google Maps / Manual,
92,Objek Wisata Penglipuran,destinasi_wisata,Budaya,,,,Google Maps / Manual,
93,Waterfall Bangkiang Djaran,destinasi_wisata,Alam,,,,Google Maps / Manual,
94,Pura Kehen,destinasi_wisata,Budaya,,,,Google Maps / Manual,
95,objek wisata seganing,destinasi_wisata,Umum,,,,Google Maps / Manual,
96,Lembah Pantunan,destinasi_wisata,Alam,,,,Google Maps / Manual,
97,Jembatan Kuning di Hutan Pinus,destinasi_wisata,Alam,,,,Google Maps / Manual,
98,Yeh Bulan waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
99,Pelisan Waterfalls,destinasi_wisata,Alam,,,,Google Maps / Manual,
100,Pinggan Sunrise View Pohon Cinta,destinasi_wisata,Umum,,,,Google Maps / Manual,
101,La Fresa Kintamani,destinasi_wisata,Alam,,,,Google Maps / Manual,
102,Hutan Pinus Glagalinggah Lestari,destinasi_wisata,Alam,,,,Google Maps / Manual,
103,Sukawana Sunrise Spot,destinasi_wisata,Umum,,,,Google Maps / Manual,
104,Air Terjun Krisik,destinasi_wisata,Alam,,,,Google Maps / Manual,
105,Objek Wisata Tukad Batu Liuu,destinasi_wisata,Umum,,,,Google Maps / Manual,
106,Pura Puncak Penulisan,destinasi_wisata,Budaya,,,,Google Maps / Manual,
107,Dukuh Hill,destinasi_wisata,Umum,,,,Google Maps / Manual,
108,Pura Tirta Sudamala,destinasi_wisata,Budaya,,,,Google Maps / Manual,
109,Bukit Payang,destinasi_wisata,Umum,,,,Google Maps / Manual,
110,Danau Batur,destinasi_wisata,Alam,,,,Google Maps / Manual,
111,Mount Batur View Point,destinasi_wisata,Umum,,,,Google Maps / Manual,
112,Lava Tumuli Gunung Batur,destinasi_wisata,Alam,,,,Google Maps / Manual,
113,Pura Segara Ulun Danu Batur,destinasi_wisata,Budaya,,,,Google Maps / Manual,
114,BAS De ATAYANA,destinasi_wisata,Umum,,,,Google Maps / Manual,
115,Museum Geopark Batur,destinasi_wisata,Budaya,,,,Google Maps / Manual,
116,Krisik Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
117,Pura Dalem Balingkang,destinasi_wisata,Budaya,,,,Google Maps / Manual,
118,Objek Ekowisata Bukit Cemeng,destinasi_wisata,Umum,,,,Google Maps / Manual,
119,mata air segening,destinasi_wisata,Umum,,,,Google Maps / Manual,
120,Beniksu Strawberry Kintamani,destinasi_wisata,Alam,,,,Google Maps / Manual,
121,Tejataki Hill Pinggan,destinasi_wisata,Umum,,,,Google Maps / Manual,
122,Desa Wisata Pule,destinasi_wisata,Umum,,,,Google Maps / Manual,
123,Batur Sari Swing,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
124,Goa Raja Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
125,Bukit Trunyan Bali,destinasi_wisata,Umum,,,,Google Maps / Manual,
126,Pura Ulun Danu Bangli,destinasi_wisata,Budaya,,,,Google Maps / Manual,
127,Air Terjun Kuning,destinasi_wisata,Alam,,,,Google Maps / Manual,
128,Aling-Aling Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
129,Banjar Hot Spring,destinasi_wisata,Alam,,,,Google Maps / Manual,
130,Kroya Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
131,Melanting waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
132,"Jembong Waterfall, Ambengan",destinasi_wisata,Alam,,,,Google Maps / Manual,
133,Puncak Wanagiri,destinasi_wisata,Umum,,,,Google Maps / Manual,
134,Air Terjun Tembok Barak,destinasi_wisata,Alam,,,,Google Maps / Manual,
135,Gitgit Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
136,Air Terjun Cinta,destinasi_wisata,Alam,,,,Google Maps / Manual,
137,Yeh Mampeh Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
138,Pantai Giri Emas,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
139,Air Terjun Bertingkat,destinasi_wisata,Alam,,,,Google Maps / Manual,
140,Banyumala Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
141,Princess Conservation Forum Menjangan,destinasi_wisata,Umum,,,,Google Maps / Manual,
142,Puri Agung Singaraja,destinasi_wisata,Budaya,,,,Google Maps / Manual,
143,Golden Valley Waterfalls,destinasi_wisata,Alam,,,,Google Maps / Manual,
144,Happy Beach Tukad Mungga,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
145,TWA Danau Buyan-Danau Tamblingan,destinasi_wisata,Alam,,,,Google Maps / Manual,
146,Air Terjun Colek Pamor,destinasi_wisata,Alam,,,,Google Maps / Manual,
147,Air Terjun Munduk,destinasi_wisata,Alam,,,,Google Maps / Manual,
148,Wisata Pantai penimbangan,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
149,Taman Kota Singaraja,destinasi_wisata,Alam,,,,Google Maps / Manual,
150,Wanagiri Hidden Hill Bali,destinasi_wisata,Umum,,,,Google Maps / Manual,
151,National Monument,destinasi_wisata,Budaya,,,,Google Maps / Manual,
152,Museum Buleleng (ᬫᬸᬲᬶᬬᬸᬫ᭄ ᬩᬸᬮᬾᬮᬾᬂ᭟ ),destinasi_wisata,Budaya,,,,Google Maps / Manual,
